,What is the highest level of education you have completed so far?,In which of these fields have you previously received qualifications?,"During your previous studies, were you required to develop digital skills? If yes, please specify.",What is your current level of study?,What is your current field of study?,Does your current field of study require digital tools skills/courses?,Have you completed any workshops or had any personal endeavors with digital tools?,Comfort in online learning :  [Navigating online course components is easy for me.],Comfort in online learning :  [It is easy to get online course components to do what I want them to do.],Comfort in online learning :  [It is  easy for me to become skillful at using online course components.],I can complete required tasks using online learning tools even if: [There is no one around to tell me what to do as I go.],I can complete required tasks using online learning tools even if: [I have never used a “learning tool” like it before.],I can complete required tasks using online learning tools even if: [I only have the “learning tool” manuals for references.],I can complete required tasks using online learning tools only if: [I have seen someone else using it before trying it myself],I can complete required tasks using online learning tools only if: [I can call someone for help if I get stuck.],I can complete required tasks using online learning tools only if: [Someone else has helped me get started.],Stresses related to online academic satisfaction: [I am satisfied with the online learning environment],"Stresses related to online academic satisfaction: [I am satisfied with my home environment (workspace, materials and family situation]",Stresses related to online academic satisfaction: [I was satisfied with past classroom or traditional learning],"Stresses related to online academic satisfaction: [I have been stressed just by the idea of connecting to any online classroom (Zoom, Google meet…)]",Stresses related to online academic expectations :  [Competition with my peers for grades is quite intense],Stresses related to online academic expectations :  [My teachers are critical of my academic performance],Stresses related to online academic expectations :  [Teachers have unrealistic expectations of me],Stresses related to online academic expectations :  [The unrealistic expectations of my parents stress me out],Stresses related to online work and examinations :  [The time allocated to classes and academic work is enough],Stresses related to online work and examinations :  [The size of the workload is excessive],Stresses related to online work and examinations :  [I am unable to catch up if getting behind my work],Stresses related to online work and examinations :  [I have enough time to relax after work],Stresses related to online work and examinations :  [The examination questions are usually difficult],Stresses related to online work and examinations :  [Examination times are very stressful to me],Stresses related to student’s academic self-perceptions concerning online learning: [I am confident that I will be a successful student],Stresses related to student’s academic self-perceptions concerning online learning: [I am confident that I will be successful in my future career],Stresses related to student’s academic self-perceptions concerning online learning: [I can make academic decisions easily],Stresses related to student’s academic self-perceptions concerning online learning: [I fear failing courses this year],Comparison to classroom learning: [My responses are the same for traditional classroom courses.]
0,Master’s degree or above,"Humanities (history, literature, philosophy, etc.)",No,Master’s degree or above,"Social sciences (psychology, anthropology, law, etc.)",No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
1,Bachelor’s degree/License,"Social sciences (psychology, anthropology, law, etc.)",No,Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Yes,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree
2,Bachelor’s degree/License,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),No,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Strongly agree,Neither disagree nor agree,Strongly disagree,Somewhat agree
3,Bachelor’s degree/License,"Fine arts (performance arts, theater, music, painting, etc.)","Media editing tools (video, images, music, etc.)",Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither disagree nor agree,Neither disagree nor agree,Somewhat disagree,Neither disagree nor agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither disagree nor agree,Somewhat disagree,Strongly disagree,Neither disagree nor agree,Strongly disagree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Neither disagree nor agree
4,Master’s degree or above,"STEM (science, technology, engineering, math)","IT (computer science, tech support)",Master’s degree or above,"STEM (science, technology, engineering, math)","IT (computer science, tech support)",Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither disagree nor agree,Somewhat agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Somewhat agree,Neither disagree nor agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither disagree nor agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Somewhat disagree,Somewhat disagree
5,Bachelor’s degree/License,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),No,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither disagree nor agree,Somewhat disagree,Strongly disagree,Neither disagree nor agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree
6,Master’s degree or above,"Humanities (history, literature, philosophy, etc.)","Media editing tools (video, images, music, etc.)",Master’s degree or above,"Social sciences (psychology, anthropology, law, etc.)","Media editing tools (video, images, music, etc.)",Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither disagree nor agree
7,Master’s degree or above,"Social sciences (psychology, anthropology, law, etc.)","Media editing tools (video, images, music, etc.)",Master’s degree or above,"Social sciences (psychology, anthropology, law, etc.)","Media editing tools (video, images, music, etc.)",Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither disagree nor agree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither disagree nor agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither disagree nor agree,Somewhat disagree,Somewhat disagree,Neither disagree nor agree,Somewhat agree,Strongly disagree
8,Bachelor’s degree/License,"STEM (science, technology, engineering, math)",No,Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither disagree nor agree,Somewhat agree,Strongly agree,Neither disagree nor agree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither disagree nor agree
9,Master’s degree or above,"STEM (science, technology, engineering, math)","Media editing tools (video, images, music, etc.)",Master’s degree or above,"STEM (science, technology, engineering, math)",Coding (for example: any programming language),Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither disagree nor agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Somewhat disagree,Somewhat disagree
10,Bachelor’s degree/License,"Social sciences (psychology, anthropology, law, etc.)",No,Master’s degree or above,"Social sciences (psychology, anthropology, law, etc.)","Media editing tools (video, images, music, etc.)",No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither disagree nor agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither disagree nor agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither disagree nor agree,Strongly disagree,Strongly disagree
